date,confirmed_cases
2014-08-29,1026.0
2014-09-05,1261.0
2014-09-08,1361.0
2014-09-12,1424.0
2014-09-16,1620.0
2014-09-18,1673.0
2014-09-22,1813.0
2014-09-24,1940.0
2014-09-26,2021.0
2014-10-01,2304.0
2014-10-03,2437.0
2014-10-08,2789.0
2014-10-10,2950.0
2014-10-15,3252.0
2014-10-17,3410.0
2014-10-22,3706.0
2014-10-25,3896.0
2014-10-29,5235.0
2014-10-31,5338.0
2014-11-05,4759.0
2014-11-07,4862.0
2014-11-12,5368.0
2014-11-14,5586.0
2014-11-19,6073.0
2014-11-21,6190.0
2014-11-26,6599.0
2014-12-01,7109.0
2014-12-03,7312.0
2014-12-10,7897.0
2014-12-15,8273.0
2014-12-17,8356.0
2014-12-22,8939.0
2014-12-23,9004.0
2014-12-24,9004.0
2014-12-26,9203.0
2014-12-29,9409.0
2014-12-30,9446.0
2014-12-31,9446.0
2015-01-02,9633.0
2015-01-05,9772.0
2015-01-06,9780.0
2015-01-07,9780.0
2015-01-08,10030.0
2015-01-09,10030.0
2015-01-12,10094.0
2015-01-13,10094.0
2015-01-14,10124.0
2015-01-15,10150.0
2015-01-16,10186.0
2015-01-19,10306.0
2015-01-20,10340.0
2015-01-21,10340.0
2015-01-22,10362.0
2015-01-23,10400.0
2015-01-26,10491.0
2015-01-27,10518.0
2015-01-28,10518.0
2015-01-29,10537.0
2015-01-30,10561.0
2015-02-02,10707.0
2015-02-03,10740.0
2015-02-04,10740.0
2015-02-05,10756.0
2015-02-06,10792.0
2015-02-10,10934.0
2015-02-11,10934.0
2015-02-12,10954.0
2015-02-13,10987.0
2015-02-16,11074.0
2015-02-17,11103.0
2015-02-18,11103.0
2015-02-19,11155.0
2015-02-20,11155.0
2015-02-23,11155.0
2015-02-25,11301.0
2015-02-26,11341.0
2015-02-27,11370.0
2015-03-02,11443.0
2015-03-04,11443.0
2015-03-05,11497.0
2015-03-06,11517.0
2015-03-10,11619.0
2015-03-11,11619.0
2015-03-12,11677.0
2015-03-13,11696.0
2015-03-16,11742.0
2015-03-17,11751.0
2015-03-18,11751.0
2015-03-20,11794.0
2015-03-23,11829.0
2015-03-24,11841.0
2015-03-25,11841.0
2015-03-26,11866.0
2015-03-27,11889.0
2015-04-07,12139.0
2015-04-09,12155.0
2015-04-13,12188.0
2015-04-14,12201.0
2015-04-15,12201.0
2015-04-16,12223.0
2015-04-17,12244.0
2015-04-20,12256.0
2015-04-21,12265.0
2015-04-22,12267.0
2015-04-23,12294.0
2015-04-24,12313.0
2015-04-27,12362.0
2015-04-28,12371.0
2015-04-30,12387.0
2015-05-01,12398.0
2015-05-04,12426.0
2015-05-05,12440.0
2015-05-06,12440.0
2015-05-07,12470.0
2015-05-08,12492.0
2015-05-11,12519.0
2015-05-12,12523.0
2015-05-13,12519.0
2015-05-14,12536.0
2015-05-15,12540.0
2015-05-18,12593.0
2015-05-19,12632.0
2015-05-20,12632.0
2015-05-21,12656.0
2015-05-22,12666.0
2015-05-25,12696.0
2015-05-26,12706.0
2015-05-27,12706.0
2015-05-28,12735.0
2015-05-29,12745.0
2015-06-01,12816.0
2015-06-02,12827.0
2015-06-03,12827.0
2015-06-04,12850.0
2015-06-05,12859.0
2015-06-08,12884.0
2015-06-09,12901.0
2015-06-10,12901.0
2015-06-11,12911.0
2015-06-12,12932.0
2015-06-15,12962.0
2015-06-16,12965.0
2015-06-17,12965.0
2015-06-18,12990.0
2015-06-19,13012.0
2015-06-22,13051.0
2015-06-23,13059.0
2015-06-24,13059.0
2015-06-25,13083.0
2015-06-26,13093.0
2015-06-29,13115.0
2015-06-30,13119.0
2015-07-01,13119.0
2015-07-02,13129.0
2015-07-03,13135.0
2015-07-06,13150.0
2015-07-07,13155.0
2015-07-08,13155.0
2015-07-09,13169.0
2015-07-10,13177.0
2015-07-13,13201.0
2015-07-14,13209.0
2015-07-15,13209.0
2015-07-16,13209.0
2015-07-17,13209.0
2015-07-20,13241.0
2015-07-21,13250.0
2015-07-22,13250.0
2015-07-23,13262.0
2015-07-24,13264.0
2015-07-27,13283.0
2015-07-28,13290.0
2015-07-29,13290.0
2015-07-30,13379.0
2015-07-31,13387.0
2015-08-03,13402.0
2015-08-04,13406.0
2015-08-05,13406.0
2015-08-06,13426.0
2015-08-07,13428.0
2015-08-10,13465.0
2015-08-11,13470.0
2015-08-12,13470.0
2015-08-13,13484.0
2015-08-14,13485.0
2015-08-17,13489.0
2015-08-18,13494.0
2015-08-19,13494.0
2015-08-20,13518.0
2015-08-21,13533.0
2015-08-24,13538.0
2015-08-25,13541.0
2015-08-26,13541.0
2015-08-27,13582.0
2015-08-28,13586.0
2015-08-31,13603.0
2015-09-01,13609.0
2015-09-02,13609.0
2015-09-03,13638.0
2015-09-04,13639.0
2015-09-07,13670.0
2015-09-08,13683.0
2015-09-09,13683.0
2015-09-10,13697.0
2015-09-11,13701.0
2015-09-14,13747.0
2015-09-15,13756.0
2015-09-16,13756.0
2015-09-17,13779.0
2015-09-18,13785.0
2015-09-21,13811.0
2015-09-22,13823.0
2015-09-23,13823.0
2015-09-24,13846.0
2015-09-25,13855.0
2015-09-28,13894.0
2015-09-29,13911.0
2015-09-30,13911.0
2015-10-01,13928.0
2015-10-02,13931.0
2015-10-05,13941.0
2015-10-06,13945.0
2015-10-07,13945.0
2015-10-08,13956.0
2015-10-09,13957.0
2015-10-13,13982.0
2015-10-15,13992.0
2015-10-16,13992.0
2015-10-20,14001.0
2015-10-22,14031.0
2015-10-23,14038.0
2015-10-26,14052.0
2015-10-27,14061.0
2015-10-29,14066.0
2015-10-30,14067.0
2015-11-03,14089.0
2015-11-05,14104.0
2015-11-06,14109.0
2015-11-10,14122.0
2015-11-11,14122.0
2015-11-12,14122.0
2015-11-16,14122.0
2015-11-17,14122.0
2015-11-20,14122.0
2015-11-24,14122.0
2015-11-26,14122.0
2015-12-01,14122.0
2015-12-02,14122.0
2015-12-03,14122.0
2015-12-09,14122.0
2015-12-10,14122.0
2015-12-11,14122.0
2015-12-15,14122.0
2015-12-16,14122.0
2015-12-17,14122.0
2015-12-22,14122.0
2015-12-23,14122.0
2015-12-29,14122.0
